study_type,width,height,max_iter,nprocs,trial,wall_time_s
strong,4096,4096,1000,8,2,1.395647
strong,4096,4096,1000,8,3,1.430385
strong,4096,4096,1000,9,1,1.253888
strong,4096,4096,1000,9,2,1.256574
strong,4096,4096,1000,9,3,1.241682
strong,4096,4096,1000,10,1,1.109210
strong,4096,4096,1000,10,2,1.100834
strong,4096,4096,1000,10,3,1.111930
strong,4096,4096,1000,11,1,1.021461
strong,4096,4096,1000,11,2,1.008528
strong,4096,4096,1000,11,3,1.005199
strong,4096,4096,1000,12,1,0.941793
strong,4096,4096,1000,12,2,0.958283
strong,4096,4096,1000,12,3,0.947971
strong,4096,4096,1000,13,1,0.857405
strong,4096,4096,1000,13,2,0.864970
strong,4096,4096,1000,13,3,0.876483
strong,4096,4096,1000,14,1,0.825039
strong,4096,4096,1000,14,2,0.823426
strong,4096,4096,1000,14,3,0.824870
strong,4096,4096,1000,15,1,0.788748
strong,4096,4096,1000,15,2,0.783621
strong,4096,4096,1000,15,3,0.786954
strong,4096,4096,1000,16,1,0.725021
strong,4096,4096,1000,16,2,0.741966
strong,4096,4096,1000,16,3,0.730220
strong,4096,4096,1000,17,1,0.697247
strong,4096,4096,1000,17,2,0.695693
strong,4096,4096,1000,17,3,0.689010
strong,4096,4096,1000,18,1,0.657662
strong,4096,4096,1000,18,2,0.660748
strong,4096,4096,1000,18,3,0.664968
strong,4096,4096,1000,19,1,0.634975
strong,4096,4096,1000,19,2,0.634194
strong,4096,4096,1000,19,3,0.627041
strong,4096,4096,1000,20,1,0.601462
strong,4096,4096,1000,20,2,0.608260
strong,4096,4096,1000,20,3,0.605797
strong,4096,4096,1000,21,1,0.576046
strong,4096,4096,1000,21,2,0.584487
strong,4096,4096,1000,21,3,0.583090
strong,4096,4096,1000,22,1,0.559837
strong,4096,4096,1000,22,2,0.553645
strong,4096,4096,1000,22,3,0.542940
strong,4096,4096,1000,23,1,0.536119
strong,4096,4096,1000,23,2,0.543631
strong,4096,4096,1000,23,3,0.526352
strong,4096,4096,1000,24,1,0.522558
strong,4096,4096,1000,24,2,0.526497
strong,4096,4096,1000,24,3,0.519375
weak,512,512,1000,2,1,0.280408
weak,512,512,1000,2,2,0.280114
weak,512,512,1000,2,3,0.280123
weak,512,512,1000,3,1,0.143112
weak,512,512,1000,3,2,0.142551
weak,512,512,1000,3,3,0.144377
weak,1024,1024,1000,4,1,0.216660
weak,1024,1024,1000,4,2,0.216639
weak,1024,1024,1000,4,3,0.215165
weak,1024,1024,1000,5,1,0.182143
weak,1024,1024,1000,5,2,0.182673
weak,1024,1024,1000,5,3,0.183074
weak,1024,1024,1000,6,1,0.152438
weak,1024,1024,1000,6,2,0.152085
weak,1024,1024,1000,6,3,0.151955
weak,1024,1024,1000,7,1,0.117498
weak,1024,1024,1000,7,2,0.117437
weak,1024,1024,1000,7,3,0.117355
weak,1024,1024,1000,8,1,0.103090
weak,1024,1024,1000,8,2,0.102959
weak,1024,1024,1000,8,3,0.102264
weak,1536,1536,1000,9,1,0.196963
weak,1536,1536,1000,9,2,0.202756
weak,1536,1536,1000,9,3,0.196484
weak,1536,1536,1000,10,1,0.168238
weak,1536,1536,1000,10,2,0.171340
weak,1536,1536,1000,10,3,0.175276
weak,1536,1536,1000,11,1,0.157369
weak,1536,1536,1000,11,2,0.158992
weak,1536,1536,1000,11,3,0.155740
weak,1536,1536,1000,12,1,0.147873
weak,1536,1536,1000,12,2,0.146664
weak,1536,1536,1000,12,3,0.146614
weak,1536,1536,1000,13,1,0.134632
weak,1536,1536,1000,13,2,0.130422
weak,1536,1536,1000,13,3,0.134491
weak,1536,1536,1000,14,1,0.125358
weak,1536,1536,1000,14,2,0.130550
weak,1536,1536,1000,14,3,0.124744
weak,1536,1536,1000,15,1,0.119006
weak,1536,1536,1000,15,2,0.116871
weak,1536,1536,1000,15,3,0.120919
weak,2048,2048,1000,16,1,0.183706
weak,2048,2048,1000,16,2,0.182392
weak,2048,2048,1000,16,3,0.181628
weak,2048,2048,1000,17,1,0.179113
weak,2048,2048,1000,17,2,0.176755
weak,2048,2048,1000,17,3,0.175136
weak,2048,2048,1000,18,1,0.169227
weak,2048,2048,1000,18,2,0.168179
weak,2048,2048,1000,18,3,0.169399
weak,2048,2048,1000,19,1,0.158363
weak,2048,2048,1000,19,2,0.156951
weak,2048,2048,1000,19,3,0.157767
weak,2048,2048,1000,20,1,0.152174
weak,2048,2048,1000,20,2,0.151383
weak,2048,2048,1000,20,3,0.152965
weak,2048,2048,1000,21,1,0.147388
weak,2048,2048,1000,21,2,0.147905
weak,2048,2048,1000,21,3,0.147447
weak,2048,2048,1000,22,1,0.140829
weak,2048,2048,1000,22,2,0.141577
weak,2048,2048,1000,22,3,0.140519
weak,2048,2048,1000,23,1,0.137474
weak,2048,2048,1000,23,2,0.134758
weak,2048,2048,1000,23,3,0.136123
weak,2048,2048,1000,24,1,0.132514
weak,2048,2048,1000,24,2,0.136338
weak,2048,2048,1000,24,3,0.136001
