study_type,N,nsteps,nprocs,trial,wall_time_s
weak,13000,50,13,1,0.891170
weak,13000,50,13,2,0.892390
weak,13000,50,13,3,0.895553
weak,14000,50,14,1,0.946810
weak,14000,50,14,2,0.949135
weak,14000,50,14,3,0.949316
weak,15000,50,15,1,1.009075
weak,15000,50,15,2,1.009392
weak,15000,50,15,3,1.013479
weak,16000,50,16,1,1.717278
weak,16000,50,16,2,1.696965
weak,16000,50,16,3,1.695411
weak,17000,50,17,1,1.134049
weak,17000,50,17,2,1.135664
weak,17000,50,17,3,1.133341
weak,18000,50,18,1,1.194853
weak,18000,50,18,2,1.193136
weak,18000,50,18,3,1.194975
weak,19000,50,19,1,1.254097
weak,19000,50,19,2,1.256739
weak,19000,50,19,3,1.266429
weak,20000,50,20,1,1.316348
weak,20000,50,20,2,1.359521
weak,20000,50,20,3,1.442553
weak,21000,50,21,1,1.507901
weak,21000,50,21,2,1.534847
weak,21000,50,21,3,1.546372
weak,22000,50,22,1,1.627764
weak,22000,50,22,2,1.626230
weak,22000,50,22,3,1.630293
weak,23000,50,23,1,1.714653
weak,23000,50,23,2,1.789467
weak,23000,50,23,3,1.719884
weak,24000,50,24,1,1.796983
weak,24000,50,24,2,1.795741
weak,24000,50,24,3,1.797710
